iso3code,country,survey_year,year,subregion,region,sdg_region,unicef_region,who_region,wb_income_group,wb_region,who_database_reference_number,survey_sample_size,severe_wasting,wasting,overweight,stunting,underweight,nots,report_author,source,under_5_population,
DZA,ALGERIA,2012-13,2012,Northern Africa,Africa,Western Asia and Northern Africa,Middle East and North Africa,AFRO,Upper Middle Income,Middle East & North Africa,3261,13860,1.4,4.1,12.4,11.7,3,,"Ministère de la Santé, de la Population et de la Réforme Hospitalière.","République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé, de la Population et de la Réforme Hospitalière, 2015."," 4,340.5 ",
AGO,ANGOLA,1996,1996,Middle Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,2083,3016,3.3,8.6,1.6,61.7,37,,"Instituto Nacional de Estatistica, UNICEF ","Inquerito de indicadores multiplos (MICS) 1996. Instituto Nacional de Estatistica - Gabinete de Monitorizaçao das Condiçoes de Vida da Populaçao. Luanda, Angola, 1999 (and additional analysis)."," 2,875.5 ",
AGO,ANGOLA,2007,2007,Middle Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,3086,10224,4.3,8.2,,29.2,15.6,,Ministerio da Saude.,"Relatorio do inquerito sobre a nutriçao em Angola 2007. Luanda, Republica de Angola: Ministerio da Saude, Direcçao nacional de Saude Publica, 2008."," 4,091.8 ",
AGO,ANGOLA,2015-16,2016,Middle Africa,Africa,Sub-Saharan Africa,Eastern and Southern Africa,AFRO,Lower Middle Income,Sub-Saharan Africa,3293,7468,1,4.9,3.3,37.6,19,(pending reanalysis),"Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN) and ICF International.","Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN) and ICF International."," 5,277.1 ",
ARG,ARGENTINA,1994,1994,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1469,5296,,1.6,11.1,7.1,1.7,Converted estimates,"Lejarraga H, Krupitzky S, Gimenez E, Diament N, Kelmansky A, Tibaldi F, et al.",The organisation of a national survey for evaluating child psychomotor development in Argentina. Paediatric and Perinatal Epidemiology 1997;11:359-373 (and additional analysis).," 3,523.0 ",
ARG,ARGENTINA,1995-96,1996,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,2103,91943,,4.2,13.5,16.9,4.7,Converted estimates,"Calvo EB, Longo EN et al.","Encuesta antropometrica en menores de 6 años bajo programa materno infantil. In: Estudios antropometricos en la poblacion infanto-juvenil. Rep. Argentina 1993-1996. Ministerio de Salud y Accion Social. Buenos Aires, 1999 (and additional analysis)."," 3,514.1 ",
ARG,ARGENTINA,2004-05,2005,South America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,2769,999999,0.2,1.2,9.9,8.2,2.3,,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA.",Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS). Archivos Argentinos de Pediatria 2009;107:397-404 (and additional analysis).," 3,594.9 ",
ARM,ARMENIA,1998,1998,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,1865,3241,1,3.3,10.8,15.1,2.7,,National Institute of Nutrition,"The health and nutritional status of children an women in Armenia. National Institute of Nutrition - Italy, 1998 (and additional analysis).", 222.7 ,
ARM,ARMENIA,2000-01,2000,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,2344,1486,0.7,2.5,16,17.7,2.6,,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2000. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2001 (and additional analysis).", 196.6 ,
ARM,ARMENIA,2005,2005,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,2785,1377,2.6,5.5,11.7,18.2,4.2,,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006 (and additional analysis).", 186.6 ,
ARM,ARMENIA,2010,2010,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,3117,1401,2,4.2,16.8,20.8,5.3,,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF International.","Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012 (and additional analysis).", 201.1 ,
ARM,ARMENIA,2015-16,2016,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Lower Middle Income,Europe & Central Asia,3294,1609,1.5,4.2,13.6,9.4,2.6,(pending reanalysis),"National Statistical Service Armenia, Yerevan; Ministry of Health Armenia, Yerevan; The DHS Program ICF International Rockville Maryland",Armenia Demographic and Health Survey 2015-16 Key Indicators Report. September 2016, 202.2 ,
AUS,AUSTRALIA,1995-96,1995,Australia/New Zealand,Oceania,Australia and New Zealand,East Asia and Pacific,WPRO,High Income,East Asia & Pacific,1832,1036810,,0,7.9,0,0,Age-adjusted; converted estimates,Australian Bureau of Statistics and Commonwealth Department of Health and Family Services,"National nutrition survey Australia 1995. Canberra: Australian Bureau of Statistics and Commonwealth Department of Health and Family Services, 1997 (and additional analysis)."," 1,303.5 ",
AUS,AUSTRALIA,2007,2007,Australia/New Zealand,Oceania,Australia and New Zealand,East Asia and Pacific,WPRO,High Income,East Asia & Pacific,2646,1007,0,0,7.7,2,0.2,Age-adjusted,Australian Bureau of Statistics and Commonwealth Department of Health and Family Services,"The 2007 national children's nutrition and physical activity survey. Canberra, Australia: DoHA, 2010 (and additional analysis)."," 1,329.4 ",
AZE,AZERBAIJAN,1996,1996,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,1628,500,,3.8,6.1,28,8.8,Converted estimates,"Branca F, Burkholder B, Hamel M, Parvanta I, Robertson A.","Health and nutrition survey of internally displaced and resident population of Azerbaijan - April 1996. Baku, Azerbaijan, 1996 (and additional analysis).", 855.4 ,
AZE,AZERBAIJAN,2000,2000,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2244,1789,4.1,9,6.2,24.1,14,,"State Statistics Committee, United Nations Children's Fund","Azerbaijan multiple indicator cluster survey 2000 (MICS). Baku, Azerbaijan: United Nations Children's Fund, 2001 (and additional analysis).", 712.5 ,
AZE,AZERBAIJAN,2001,2001,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2569,2426,,3.2,4.4,18,5.9,Converted estimates,"Adventist Development and Relief Agency, Azerbaijan Ministry of Health, State Committee of Statistics, Mercy Corps [Baku, Azerbaijan], DRH/CDC, USAID,","UNFPA, UNHCR. Reproductive health survey Azerbaijan, 2001: Final report. Serbanescu F, Morris L, Rahimova S, Stupp P, eds. Atlanta, GA: US Department of Health and Human Services, CDC, 2003 (and additional analysis).", 674.1 ,
AZE,AZERBAIJAN,2006,2006,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2933,2127,2.2,6.8,13.9,26.8,8.4,,State Statistical Committee (SSC) [Azerbaijan] and Macro International Inc.,"Azerbaijan demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008 (and additional analysis).", 656.9 ,
AZE,AZERBAIJAN,2011,2011,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,3295,2505,2.9,6.6,10.4,16.4,6.5,(pending reanalysis),"Public Health and Reforms Center (PHRC) [Azerbaijan]; Ministry of Health (MoH) [Azerbaijan], Baku, Azerbaijan","The Demographic and Health Survey, Azerbaijan, 2011 Final Report", 734.9 ,
AZE,AZERBAIJAN,2013,2013,Western Asia,Asia,Western Asia and Northern Africa,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,3269,1569,1.1,3.1,13,18,4.9,,"Ministry of Health, State Statistical Committee and UNICEF [Azerbaijan].","Azerbaijan nutrition survey  (AzNS), 2013. Baku, Republic of Azerbaijan, 2014.", 813.9 ,
BHR,BAHRAIN,1989,1989,Western Asia,Asia,Western Asia and Northern Africa,Middle East and North Africa,EMRO,High Income,Middle East & North Africa,1511,2033,,6.8,7.5,13.9,6.3,Converted estimates,Ministry of Health.,"Bahrain child health survey 1989. Manama, Bahrain, 1992.", 65.5 ,
BHR,BAHRAIN,1995,1995,Western Asia,Asia,Western Asia and Northern Africa,Middle East and North Africa,EMRO,High Income,Middle East & North Africa,2296,673,,6.6,,13.6,7.6,Converted estimates (Bahraini),Naseeb T and Farid SM.,"Bahrain family health survey 1995: principal report. Manama, Bahrain: Ministry of Health, 2000.", 61.3 ,
BGD,BANGLADESH,1985-86,1986,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,369,2675,,17.3,0.2,70.9,66.8,Converted estimates,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status module, Bangladesh household expenditure survey 1985-86. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1987 (and additional analysis)."," 15,921.3 ",
BGD,BANGLADESH,1989-90,1990,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,370,1914,,17.5,0.6,63.4,61.5,Converted estimates,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status survey 1989-90. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1991 (and additional analysis)."," 16,461.4 ",
BGD,BANGLADESH,1991,1991,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2828,32493,2.6,15.2,0.3,73.6,61.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1991: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,573.1 ",
BGD,BANGLADESH,1992,1992,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2831,36997,3,16.1,0.2,71.5,60.6, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1992: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,611.5 ",
BGD,BANGLADESH,1993,1993,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2832,42826,2.5,14,0.4,69.2,56.1, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1993: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,603.5 ",
BGD,BANGLADESH,1994,1994,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2835,63753,3.2,16.7,0.2,67.3,58, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1994: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,591.0 ",
BGD,BANGLADESH,1995,1995,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2836,87051,2.7,15.1,0.2,65.8,55.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1995: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,608.4 ",
BGD,BANGLADESH,1996,1996,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2839,81067,2.8,15.5,0.3,63.8,54, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1996: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,641.1 ",
BGD,BANGLADESH,1996-97,1997,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,1759,4781,6.6,20.6,1.7,59.7,52.5,,"National Institute of Population Research and Training, Mitra and Associates and Macro International Inc.","Bangladesh demographic and health survey 1996-97. Demographic and Health Surveys. National Institute for Population Research and Training. Dhaka, Bangladesh, 1997 (and additional analysis)."," 16,684.1 ",
BGD,BANGLADESH,1998,1998,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,1935,49496,2.3,15,0.2,59.3,50.7, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1998: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,734.7 ",
BGD,BANGLADESH,1999,1999,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2104,49374,2,13.7,0.6,59.9,49.5, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1999: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,779.9 ",
BGD,BANGLADESH,1999-00,2000,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2280,6010,2.5,12.5,0.9,50.8,42.3,,"National Institute of Population Research and Training, Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 1999-2000 (DHS). Dhaka, Bangladesh and Calverton, Maryland: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro, 2001 (and additional analysis)."," 16,814.0 ",
BGD,BANGLADESH,2001,2001,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2413,63444,2.3,12.7,0.9,53.2,43.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2001: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,914.6 ",
BGD,BANGLADESH,2002,2002,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2640,53315,2.1,12.4,1,51.4,41, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2002: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,952.6 ",
BGD,BANGLADESH,2003,2003,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2641,86999,2.1,12.5,1,47.8,38.9, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2003: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008."," 16,933.0 ",
BGD,BANGLADESH,2004,2004,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2705,6147,3.5,14.6,0.9,50.5,42.7,,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 2004. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland [USA]: NIPORT, Mitra and Associates, and ORC Macro, 2005 (and additional analysis)."," 16,860.6 ",
BGD,BANGLADESH,2005,2005,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2784,74758,1.9,11.8,1,45.9,37.3, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) and Institute of Public Health Nutrition.,"Nutritional Surveillance Project 2005: Rural data (using the WHO Child Growth Standards). Unpublished estimates. Dhakar, Bangladesh: HKI and Institute of Public Health Nutrition, 2007."," 16,744.5 ",
BGD,BANGLADESH,2006,2006,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2878,24302,1.6,11.9,0.8,45.1,37.9, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2006: data on rural national data (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008 (and additional analysis)."," 16,676.3 ",
BGD,BANGLADESH,2007,2007,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,2928,5495,2.9,17.5,1.1,43.2,41.3,,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International.","Bangladesh demographic and health survey 2007. DHS. Dhaka, Bangladesh and Calverton, Maryland, USA: National Institute of Population Research and Training, Mitra and Associates, and Macro International, 2009 (and additional analysis)."," 16,502.8 ",
BGD,BANGLADESH,2011,2011,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,3135,8070,4.1,15.7,1.9,41.4,36.8,,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh demographic and health survey 2011. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, Mitra and Associates, and ICF International, 2013 (and additional analysis)."," 15,608.0 ",
BGD,BANGLADESH,2012-13,2012,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,3229,,1.6,9.6,1.6,42,31.9,(pending reanalysis),Bangladesh Bureau of Statistics and UNICEF Bangladesh.,"Bangladesh multiple indicator cluster survey. Key findings Report. Dhaka, Bangladesh: Bangladesh Bureau of Statistics and UNICEF Bangladesh, 2014."," 15,467.7 ",
BGD,BANGLADESH,2013,2013,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,3244,4029,4.9,18.1,2.6,38.7,35.1,,"Shahin S, Bhadra SK and Ahsanul Alam M.","Utilization of Essential Service Delivery (UESD) Survey 2013. Dhaka: National Institute of Population Research and Training (NIPORT), 2014."," 15,390.3 ",
BGD,BANGLADESH,2014,2014,Southern Asia,Asia,Central Asia and Southern Asia,South Asia,SEARO,Lower Middle Income,South Asia,3249,7318,3.1,14.3,1.4,36.1,32.6,(pending reanalysis),"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh demographic and health survey 2014: Key indicators. Demographic and Health Surveys. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates and ICF International, 2015 (pending reanalysis)."," 15,329.1 ",
BRB,BARBADOS,2012,2012,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,High Income,Latin America & Caribbean,3238,403,2,6.8,12.2,7.7,3.5,,Barbados Statistical Service (BSS).,"Barbados multiple indicator cluster survey 2012: Final report (MICS4). Bridgetown, Barbados: BSS, 2014.", 17.3 ,
BLR,BELARUS,2005,2005,Eastern Europe,Europe,Northern America and Europe,Eastern Europe and Central Asia,EURO,Upper Middle Income,Europe & Central Asia,2824,3031,0.6,2.2,9.7,4.5,1.3,,Ministry of Statistics and Analysis (MSA) of the Republic of Belarus and Research Institute of Statistics of the MSA of the Republic of Belarus.,"Belarus multiple indicator cluster survey 2005, final report. Minsk, Republic of Belarus: Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus], 2007 (and additional analysis).", 448.3 ,
BLZ,BELIZE,1992,1992,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,1341,8516,,,,,5.4,Converted estimate,Ministry of Health.,"Assessment of the food, nutrition and health situation of Belize. INCAP Publication DC1/002. Kingston: Institute of Nutrition of Central America and Panama, 1992 (and additional analysis).", 30.4 ,
BLZ,BELIZE,2006,2006,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,2881,722,0.9,1.9,13.7,22.2,4.9,,Statistical Institute of Belize (SIB) and UNICEF.,"Multiple indicator cluster survey Belize, 2006. UNICEF, www.childinfo.org/mics3_surveys.html, accessed 7 January 2009 (and additional analysis).", 37.9 ,
BLZ,BELIZE,2011,2011,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,3154,1809,1.2,3.3,7.9,19.3,6.2,,Statistical Institute of Belize (SIB) and UNICEF.,"Belize multiple indicator cluster survey 2011 (MICS). Belize city, Belize: SIB and UNICEF, 2012 (and additional analysis).", 37.5 ,
BLZ,BELIZE,2015-16,2015,Central America,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and Caribbean,AMRO,Upper Middle Income,Latin America & Caribbean,3299,,0.5,1.8,7.3,15,4.6,(pending reanalysis),"Statistical Institute of Belize, Government of Belize, and UNICEF","Belize Multiple Indicator Cluster Survey 2015: Key Findings. Belmopan, Belize., 2016", 39.5 ,
