Rank,Country,elections,seats_lower_house,lower_women,lower_percentage_women,Elections_u_h,seats_upper_house,upper_women,upper_percentage_woen
53,Poland,25.10.2015,460,129,0.28,25.10.2015,100,14,14.00%
54,Albania,25.06.2017,140,39,0.279,---,---,---,---
55,Afghanistan,18.09.2010,249,69,0.277,10.01.2015,68,18,26.50%
"""",Peru,10.04.2016,130,36,0.277,---,---,---,---
57,Israel,17.03.2015,120,33,0.275,---,---,---,---
"""",Lao People's Democratic Republic,20.03.2016,149,41,0.275,---,---,---,---
59,Kazakhstan,20.03.2016,107,29,0.271,28.06.2017,47,5,10.60%
60,Dominican Republic,15.05.2016,190,51,0.268,15.05.2016,32,3,9.40%
61,Estonia,01.03.2015,101,27,0.267,---,---,---,---
"""",San Marino,20.11.2016,60,16,0.267,---,---,---,---
"""",Viet Nam,22.05.2016,494,132,0.267,---,---,---,---
64,Canada,19.10.2015,335,88,0.263,N.A.,100,43,43.00%
65,Algeria,04.05.2017,462,119,0.258,29.12.2015,143,10,7.00%
"""",Turkmenistan,15.12.2013,124,32,0.258,---,---,---,---
67,Suriname,24.05.2015,51,13,0.255,---,---,---,---
68,Iraq,30.04.2014,328,83,0.253,---,---,---,---
69,Mauritania,23.11.2013,147,37,0.252,---,---,---,---
70,Dominica,08.12.2014,32,8,0.25,---,---,---,---
71,Somalia,23.10.2016,275,67,0.244,23.10.2016,54,13,24.10%
72,China,05.03.2013,2924,709,0.242,---,---,---,---
73,Bulgaria,26.03.2017,240,57,0.238,---,---,---,---
74,Cabo Verde,20.03.2016,72,17,0.236,---,---,---,---
75,Montenegro,16.10.2016,81,19,0.235,---,---,---,---
76,Singapore,11.09.2015,100,23,0.23,---,---,---,---
77,Republic of Moldova,30.11.2014,101,23,0.228,---,---,---,---
78,United Arab Emirates,03.10.2015,40,9,0.225,---,---,---,---
79,Ireland,26.02.2016,158,35,0.222,25.04.2016,60,18,30.00%
"""",Venezuela (Bolivarian Republic of),06.12.2015,167,37,0.222,---,---,---,---
81,Lesotho,03.06.2017,122,27,0.221,11.07.2017,32,8,25.00%
82,Czech Republic,20.10.2017,200,44,0.22,07.10.2016,80,15,18.80%
"""",Eritrea,01.02.1994,150,33,0.22,---,---,---,---
84,Guinea,28.09.2013,114,25,0.219,---,---,---,---
85,Kenya,08.07.2017,349,76,0.218,08.07.2017,68,21,30.90%
86,Bosnia and Herzegovina,12.10.2014,42,9,0.214,29.01.2015,15,2,13.30%
87,Lithuania,09.10.2016,141,30,0.213,---,---,---,---
88,Seychelles,08.09.2016,33,7,0.212,---,---,---,---
89,Monaco,10.02.2013,24,5,0.208,---,---,---,---
90,Romania,11.12.2016,329,68,0.207,11.12.2016,136,19,14.00%
91,Pakistan,11.05.2013,340,70,0.206,05.03.2015,104,19,18.30%
92,Morocco,07.10.2016,395,81,0.205,02.10.2015,120,14,11.70%
93,Bangladesh,05.01.2014,350,71,0.203,---,---,---,---
"""",Cambodia,28.07.2013,123,25,0.203,29.01.2012,61,9,14.80%
95,Uruguay,26.10.2014,99,20,0.202,26.10.2014,31,9,29.00%
96,Slovakia,05.03.2016,150,30,0.2,---,---,---,---
97,Saudi Arabia,02.12.2016,151,30,0.199,---,---,---,---
98,Indonesia,09.04.2014,560,111,0.198,---,---,---,---
99,United States of America,08.11.2016,434,84,0.194,08.11.2016,100,21,21.00%
100,Kyrgyzstan,04.10.2015,120,23,0.192,---,---,---,---
"""",Madagascar,20.12.2013,151,29,0.192,29.12.2015,63,13,20.60%
102,Tajikistan,01.03.2015,63,12,0.19,27.03.2015,32,7,21.90%
103,Colombia,09.03.2014,166,31,0.187,09.03.2014,102,22,21.60%
104,Croatia,11.09.2016,151,28,0.185,---,---,---,---
105,Greece,20.09.2015,300,55,0.183,---,---,---,---
"""",Panama,04.05.2014,71,13,0.183,---,---,---,---
107,Sao Tome and Principe,12.10.2014,55,10,0.182,---,---,---,---
108,Armenia,02.04.2017,105,19,0.181,---,---,---,---
109,Zambia,11.08.2016,167,30,0.18,---,---,---,---
110,Cyprus,22.05.2016,56,10,0.179,---,---,---,---
111,Togo,25.07.2013,91,16,0.176,---,---,---,---
112,Jamaica,22.02.2016,63,11,0.175,10.03.2016,21,5,23.80%
113,Gabon,17.12.2011,117,20,0.171,13.12.2014,102,18,17.60%
"""",Mongolia,29.06.2016,76,13,0.171,---,---,---,---
115,Niger,21.02.2016,171,29,0.17,---,---,---,---
"""",Republic of Korea,13.04.2016,300,51,0.17,---,---,---,---
117,Azerbaijan,01.11.2015,125,21,0.168,---,---,---,---
118,Barbados,21.02.2013,30,5,0.167,06.03.2013,21,5,23.80%
"""",Malawi,20.05.2014,192,32,0.167,---,---,---,---
"""",Saint Lucia,06.06.2016,18,3,0.167,05.01.2012,11,3,27.30%
121,Democratic People's Republic of Korea,09.03.2014,687,112,0.163,---,---,---,---
122,Fiji,17.09.2014,50,8,0.16,---,---,---,---
"""",Georgia,08.10.2016,150,24,0.16,---,---,---,---
"""",Latvia,04.10.2014,100,16,0.16,---,---,---,---
"""",Libya,25.06.2014,188,30,0.16,---,---,---,---
"""",Uzbekistan,21.12.2014,150,24,0.16,13.01.2015,100,17,17.00%
127,Russian Federation,18.09.2016,450,71,0.158,N.A.,170,29,17.10%
128,Jordan,20.09.2016,130,20,0.154,27.09.2016,65,10,15.40%
129,Egypt,17.10.2015,596,89,0.149,---,---,---,---
130,Turkey,01.11.2015,549,80,0.146,---,---,---,---
131,Paraguay,21.04.2013,80,11,0.138,21.04.2013,45,9,20.00%
132,Guinea-Bissau,13.04.2014,102,14,0.137,---,---,---,---
133,Saint Kitts and Nevis,16.02.2015,15,2,0.133,---,---,---,---
134,Syrian Arab Republic,13.04.2016,250,33,0.132,---,---,---,---
135,Saint Vincent and the Grenadines,09.12.2015,23,3,0.13,---,---,---,---
136,Bahamas,24.05.2017,39,5,0.128,24.05.2017,16,7,43.80%
"""",Chad,13.02.2011,188,24,0.128,---,---,---,---
138,Ghana,07.12.2016,275,35,0.127,---,---,---,---
"""",Guatemala,06.09.2015,158,20,0.127,---,---,---,---
140,Palau,01.11.2016,16,2,0.125,01.11.2016,13,2,15.40%
141,Sierra Leone,17.11.2012,121,15,0.124,---,---,---,---
142,Ukraine,26.10.2014,423,52,0.123,---,---,---,---
143,Liechtenstein,05.02.2017,25,3,0.12,---,---,---,---
144,Malta,03.06.2017,67,8,0.119,---,---,---,---
145,India,07.04.2014,542,64,0.118,21.03.2016,244,27,11.10%
146,Mauritius,10.12.2014,69,8,0.116,---,---,---,---
147,Congo,16.07.2017,151,17,0.113,31.08.2017,71,14,19.70%
148,Antigua and Barbuda,12.06.2014,18,2,0.111,25.06.2014,17,5,29.40%
149,Burkina Faso,29.11.2015,127,14,0.11,---,---,---,---
150,Djibouti,22.02.2013,65,7,0.108,---,---,---,---
151,Brazil,05.10.2014,513,55,0.107,05.10.2014,81,12,14.80%
152,Cote d'Ivoire,18.12.2016,255,27,0.106,---,---,---,---
153,Nauru,09.07.2016,19,2,0.105,---,---,---,---
154,Malaysia,05.05.2013,222,23,0.104,N.A.,68,15,22.10%
155,Gambia,06.04.2017,58,6,0.103,---,---,---,---
156,Myanmar,08.11.2015,433,44,0.102,08.11.2015,221,23,10.40%
157,Hungary,06.04.2014,199,20,0.101,---,---,---,---
"""",Japan,22.10.2017,465,47,0.101,10.07.2016,242,50,20.70%
159,Samoa,04.03.2016,50,5,0.1,---,---,---,---
160,Liberia,10.10.2017,71,7,0.099,20.12.2014,30,3,10.00%
161,Qatar,01.07.2013,41,4,0.098,---,---,---,---
162,Botswana,24.10.2014,63,6,0.095,---,---,---,---
163,Belize,04.11.2015,32,3,0.094,13.11.2015,13,2,15.40%
164,Brunei Darussalam,13.01.2017,33,3,0.091,---,---,---,---
"""",Marshall Islands,16.11.2015,33,3,0.091,---,---,---,---
166,Democratic Republic of the Congo,28.11.2011,492,44,0.089,19.01.2007,108,5,4.60%
167,Mali,24.11.2013,147,13,0.088,---,---,---,---
168,Central African Republic,14.02.2016,140,12,0.086,---,---,---,---
169,Bhutan,13.07.2013,47,4,0.085,23.04.2013,25,2,8.00%
170,Tonga,16.11.2017,26,2,0.077,---,---,---,---
171,Bahrain,22.11.2014,40,3,0.075,07.12.2014,40,9,22.50%
172,Benin,26.04.2015,83,6,0.072,---,---,---,---
173,Tuvalu,31.03.2015,15,1,0.067,---,---,---,---
174,Kiribati,30.12.2015,46,3,0.065,---,---,---,---
175,Swaziland,20.09.2013,65,4,0.062,30.10.2013,30,10,33.30%
176,Comoros,25.01.2015,33,2,0.061,---,---,---,---
177,Iran (Islamic Republic of),26.02.2016,289,17,0.059,---,---,---,---
"""",Maldives,22.03.2014,85,5,0.059,---,---,---,---
179,Sri Lanka,17.08.2015,225,13,0.058,---,---,---,---
180,Nigeria,28.03.2015,360,20,0.056,28.03.2015,108,7,6.50%
181,Thailand,07.08.2014,250,12,0.048,---,---,---,---
182,Kuwait,26.11.2016,65,2,0.031,---,---,---,---
"""",Lebanon,07.06.2009,128,4,0.031,---,---,---,---
184,Haiti,09.08.2015,118,3,0.025,20.11.2016,28,1,3.60%
185,Solomon Islands,19.11.2014,50,1,0.02,---,---,---,---
186,Oman,25.10.2015,85,1,0.012,07.11.2015,85,14,16.50%
187,Micronesia (Federated States of),07.03.2017,14,0,0,---,---,---,---
"""",Papua New Guinea,24.06.2017,106,0,0,---,---,---,---
"""",Vanuatu,22.01.2016,52,0,0,---,---,---,---
"""",Yemen,27.04.2003,275,0,0,28.04.2001,111,2,1.80%
?,Chile,19.11.2017,155,?,?,19.11.2017,43,?,?
?,Equatorial Guinea,12.11.2017,99,?,?,12.11.2017,54,?,?
?,Honduras,26.11.2017,128,?,?,---,---,---,---
